



PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
7066142;"Asamblea Cristiana de Madrid";"";"";"";" Metro: Miguel Hernández (línea 1)  Bus: 54, 58, 103, 142, 143, 144 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=03758105e2260410VgnVCM2000000c205a0aRCRD";"ALORA";"CALLE";"V";"7 y 9";"Bajo";"";"";"";"MADRID";"MADRID";"28018";"PALOMERAS SURESTE";"PUENTE DE VALLECAS";"445759";"4471010";"40.386040079971394";"-3.64034744917085";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
4530770;"Asociación Darse - Dar Ayuda para la Reinserción Social España";"DARSE (Dar Ayuda para la Reinserción Social España)";"";"";" Metro 5(calle Camino Viejo de Leganés 1):urgel ";"Entidad inscrita en el Registro Municipal de Entidades Ciudadanas.";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=358393b8cb901110VgnVCM2000000c205a0aRCRD";"ALTO DE SAN ISIDRO";"CAMINO";"V";"16";"2º C";"";"";"";"MADRID";"MADRID";"28019";"SAN ISIDRO";"CARABANCHEL";"4387";"44722";"40.3964910317842";"-3.72281263104335";"676247792";"";"darseorg@gmail.com";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
1364;"Asociación Betel";"Orienta sus actividades de ayuda social hacia los colectivos más desfavorecidos socialmente, constituidos por personas en situación o en riesgo de exclusión social: reclusos y ex-reclusos, personas sin hogar, drogodependientes de perfil marginal, inmigrantes, etc.";"";"  Residencia y talleres terapéuticos para personas drogodependientes  Reuniones de grupos   Actividades culturales  Ocio y tiempo libre  Recogida, recuperación y venta de antig&uuml;edades, ropa usada, portes y mudanzas  ";" Metro: San Francisco (línea 11)   Bus: 47, 108, 118, 121, 131, 155 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9de076172d71c010VgnVCM1000000b205a0aRCRD";"ANTONIA RODRíGUEZ SACRISTÁN";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28044";"BUENAVISTA";"CARABANCHEL";"436857";"4469609";"40.372799948839976";"-3.745081414178666";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
3387;"Catedral Anglicana de Madrid";"";"";"";" Metro: Alonso Martínez (líneas 4, 5, 10)  Bus: 37 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=94ef13db5b71c010VgnVCM1000000b205a0aRCRD";"BENEFICENCIA";"CALLE";"NUM";"18";"";"";"";"";"MADRID";"MADRID";"28004";"JUSTICIA";"CENTRO";"440843";"4475522";"40.42635120982088";"-3.698682579292043";"914 452 560 / 609 876 913";"";"secretario@anglicanos.org";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
3388;"Catedral Ortodoxa Griega";"";"";"";" Metro: Colombia (líneas 8, 9)  Bus: 7, 11, 40, 52, 87 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=82547b503a71c010VgnVCM1000000b205a0aRCRD";"NICARAGUA";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28016";"HISPANOAMERICA";"CHAMARTIN";"443056";"4478968";"40.45754917910687";"-3.672905343222746";"913 454 085";"913 509 374";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
3751;"Centro Cultural Islámico. Mezquita de Madrid";"";"";"";" Parque de las Avenidas: (línea 7)  
 Bus: 21, 48, 53 , 122, 146 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a3b71e79ee71c010VgnVCM1000000b205a0aRCRD";"SALVADOR DE MADARIAGA";"CALLE";"V";"4";"";"";"";"";"MADRID";"MADRID";"28027";"SAN PASCUAL";"CIUDAD LINEAL";"444358";"4476846";"40.438521492191306";"-3.6573640044493407";"913 262 610";"";"inform.cci@gmail.com";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
7066102;"Centro de Evangelización Anuncio de Paz";"";"";"";" Metro: Portazgo (línea 1)  Bus: 10, 24, 54, 57, 58, 103, 111, 136  ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=17bb8105e2260410VgnVCM2000000c205a0aRCRD";"PUERTO DEL MONASTERIO";"CALLE";"V";"10";"BAJO";"";"";"";"MADRID";"MADRID";"28053";"SAN DIEGO";"PUENTE DE VALLECAS";"443654";"4471995";"40.39477355030102";"-3.665233691809319";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
7065996;"Comunidad Cristiana Maranatha";"";"";"";" Metro: Menéndez Pelayo (línea 1)    Bus: 10, 14, 24, 26, 32, 37, 54, 57, 102, 141, 152 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=429604a5d0260410VgnVCM2000000c205a0aRCRD";"GRANADA";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28007";"PACIFICO";"RETIRO";"442402";"4473144";"40.40503855717772";"-3.6800894670027358";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
3386;"Iglesia Anglicana Episcopal de San Jorge";"";" Culto en inglés los domingos. ";"Iglesia de la Embajada británica ";" Metro: Velazquez (línea 4)  Bus: 1, 9, 19, 21, 29, 51, 52, 53, 74 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=48047b503a71c010VgnVCM1000000b205a0aRCRD";"NUÑEZ DE BALBOA";"CALLE";"V";"43";"";"";"";"";"MADRID";"MADRID";"28001";"RECOLETOS";"SALAMANCA";"442193";"4475550";"40.42669852639718";"-3.68277143067568";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
7063835;"Iglesia Bautista Alameda de Osuna";"";"";"";" Metro: El Capricho (línea 5)   Bus: 101, 105, 151  ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bd9c1ea949750410VgnVCM2000000c205a0aRCRD";"JOAQUIN IBARRA";"CALLE";"V";"46";"";"";"";"";"MADRID";"MADRID";"28042";"ALAMEDA DE OSUNA";"BARAJAS";"449837";"4478637";"40.455005219463864";"-3.592907109932939";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
7063848;"Iglesia Bautista Barrio del Pilar";"";"";"";" Metro: Barrio del Pilar (línea 9)   Bus: 49, 83, 132, 134, 137, 147 ";"";"0";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d7521ea949750410VgnVCM2000000c205a0aRCRD";"GINZO DE LIMIA";"CALLE";"V";"44";"";"";"";"";"MADRID";"MADRID";"28029";"LA PAZ";"FUENCARRAL-EL PARDO";"440509";"4481318";"40.47854013481567";"-3.703163788451918";"";"";"";"/contenido/entidadesYorganismos/TemplosOtrasReligiones"; 
